"ID","manufacturer","model","model_name","year","body_style","power","ccm","cylinders","steering","transmission","drive","fuel","condition","price"
251319,"Aston Martin","Lagonda","Lagonda",1986,"Saloon",196,5340,8,"Left (LHD)","Automatic","Rear","Petrol","Part-Restored",72000
272338,"Volkswagen","Beetle","Beetle 1302",1972,"Saloon",25,1192,4,"Left (LHD)","Manual","Rear","Petrol","Part-Restored",18500
272337,"Alfa Romeo","1900","1900 C Sprint",1953,"Coupe",54,1884,4,"Left (LHD)","Manual","Rear","Petrol","Restored",315000
272336,"Ford","Capri","Capri 1,6",1980,"Coupe",50,1593,4,"Left (LHD)","Manual","Rear","Petrol","Original",13500
272238,"Ferrari","Dino","Dino 308 GT4",1976,"Coupe",177,2926,8,"Left (LHD)","Manual","Rear","Petrol","Original",74900
272330,"Ferrari","328","328 GTS",1987,"Convertible",199,3185,8,"Left (LHD)","Manual","Rear","Petrol","Original",99500
272331,"BMW","Z8","Z8",2003,"Convertible",294,4941,8,"Left (LHD)","Manual","Rear","Petrol","Original",169500
272329,"Ferrari","575","575 Maranello F1",2003,"Coupe",379,5748,12,"Left (LHD)","Semi-Automatic","Rear","Petrol","Original",95500
272320,"Mercedes-Benz","SL-Class","560 SL",1989,"Convertible",169,5547,8,"Left (LHD)","Automatic","Rear","Petrol","Original",49500
272325,"Porsche","911","911 Turbo",2007,"Coupe",353,3600,6,"Left (LHD)","Automatic","4WD","Petrol","Original",76500
272322,"Porsche","911","911 Carrera 2",1991,"Convertible",184,3600,6,"Left (LHD)","Manual","Rear","Petrol","Original",69900
272326,"Ferrari","F 355","F 355 F1 GTS",1999,"Coupe",279,3495,8,"Left (LHD)","Semi-Automatic","Rear","Petrol","Original",79500
272279,"Alfa Romeo","Giulia","Giulia Sprint Speciale",1964,"Coupe",82,1570,4,"Left (LHD)","Manual","Rear","Petrol","Original",155000
272277,"Mercedes-Benz","SL-Class","280 SL",1976,"Convertible",136,2746,6,"Left (LHD)","Manual","Rear","Petrol","Original",22900
272297,"BMW","3 Series","M3",2004,"Coupe",252,3246,6,"Left (LHD)","Automatic","Rear","Petrol","Original",49990
272300,"BMW","Z1","Z1",1989,"Convertible",125,2494,6,"Left (LHD)","Manual","Rear","Petrol","Original",59990
272295,"BMW","5 Series","525e",1986,"Saloon",90,2693,6,"Left (LHD)","Manual","Rear","Petrol","Original",16990
272302,"Messerschmitt / FMR","KR","KR 200",1957,"Convertible",7,191,1,"Left (LHD)","Manual","Rear","Petrol","Original",27500
272301,"Ford","Capri","Capri 2,8i",1985,"Coupe",118,2772,6,"Left (LHD)","Manual","Rear","Petrol","Original",19500
272303,"Mercedes-Benz","SLS AMG","SLS AMG GT Roadster",2013,"Convertible",435,6208,8,"Left (LHD)","Automatic","Rear","Petrol","Original",225000
272305,"Maybach","62","62",2004,"Saloon",405,5513,12,"Left (LHD)","Automatic","Rear","Petrol","Original",90000
272327,"Mercedes-Benz","SL-Class","280 SL",1969,"Convertible",125,2778,6,"Left (LHD)","Automatic","Rear","Petrol","Original",149900
272324,"Porsche","911","911 Carrera 2 (WTL)",1992,"Convertible",184,3600,6,"Left (LHD)","Manual","Rear","Petrol","Original",119000
272294,"FIAT","1100","1100 E",1952,"Saloon",26,1089,4,"Left (LHD)","Manual","Rear","Petrol","Original",11000
272285,"Innocenti","Mini","Mini Minor 850",1971,"Saloon",25,848,4,"Left (LHD)","Manual","Front","Petrol","Original",7700
272304,"FIAT","500","500 L",1970,"Saloon",13,499,2,"Left (LHD)","Manual","Rear","Petrol","Original",9200
272296,"Ford","Model A","Model A",1931,"Convertible",29,3285,4,"Left (LHD)","Manual","Rear","Petrol","Original",29500
272289,"Alfa Romeo","GTV","GTV 2.0 V6 Turbo",1996,"Coupe",149,1996,6,"Left (LHD)","Manual","Front","Petrol","Original",9000
272293,"Mercedes-Benz","CL-Class","CL 500",2001,"Coupe",225,4966,8,"Left (LHD)","Automatic","Rear","Petrol","Original",12900
272299,"Triumph","Spitfire","Spitfire 1500",1976,"Convertible",53,1493,4,"Left (LHD)","Manual","Rear","Petrol","Original",16500
272286,"Jaguar","XK","XK 150 FHC",1960,"Coupe",142,3442,6,"Left (LHD)","Manual","Rear","Petrol","Original",160000
